dup_id,source,connector_code,station_id,station_ref,station_name,timeseries_id,timeseries_ref,timeseries_label,pollutant,last_value,last_value_at,distance_m,lat_lon,aurn_uk_air_id,aurn_networks
DUP000004,json,uk_air_sos,1567,958,London N. Kensington,,,London N. Kensington-Carbon monoxide (air),co,,,0.000,51.521050 -0.213419,,
DUP000005,aurn,aurn_register,,UKA00315,London Marylebone Road,,,,co,,,0,51.522530 -0.154611,UKA00315,Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; UK Urban NO2 Network
DUP000005,json,breathelondon,7739,CLDP0015,Marylebone Road - Mains (reference co-location),,,Marylebone Road - Mains (reference co-location),co,,,1.899,51.522541 -0.154590,,
DUP000005,json,breathelondon,7740,CLDP0016,Marylebone Road - Solar (reference co-location),,,Marylebone Road - Solar (reference co-location),co,,,1.899,51.522541 -0.154590,,
DUP000005,json,openaq,16382,154,DEFRA London Marylebone Road,1447,1304850,London Marylebone Road,co,372.544,2026-02-19 15:00:00+00,0.000,51.522530 -0.154611,,
DUP000005,json,uk_air_sos,1519,1030,London Marylebone Road,,,London Marylebone Road-Carbon monoxide (air),co,,,0.000,51.522530 -0.154611,,
DUP000006,aurn,aurn_register,,UKA00454,Edinburgh St Leonards,,,,co,,,0,55.945589 -3.182186,UKA00454,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)
DUP000006,json,openaq,16409,955,DEFRA Edinburgh St Leonards,1549,11438889,Edinburgh St Leonards,co,151.346,2026-02-19 13:00:00+00,0.000,55.945589 -3.182186,,
DUP000006,json,uk_air_sos,800,879,Edinburgh St Leonards,,,Edinburgh St Leonards-Carbon monoxide (air),co,,,0.000,55.945589 -3.182186,,
DUP000007,aurn,aurn_register,,UKA00501,Port Talbot Margam,,,,co,,,0,51.583950 -3.770822,UKA00501,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000007,json,openaq,16408,946,DEFRA Port Talbot Margam,1543,11438888,Port Talbot Margam,co,279.408,2026-02-19 15:00:00+00,0.000,51.583950 -3.770822,,
DUP000007,json,uk_air_sos,1917,1100,Port Talbot Margam,,,Port Talbot Margam-Carbon monoxide (air),co,,,0.000,51.583950 -3.770822,,
DUP000008,aurn,aurn_register,,UKA00128,Bush Estate,,,,no2,,,0,55.862281 -3.205782,UKA00128,Automatic Urban and Rural Monitoring Network (AURN); UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network
DUP000008,json,openaq,16475,2443,EEA Bush Estate - UKA00128,1724,4674,Bush Estate - UKA00128,no2,6,2026-02-19 19:00:00+00,0.000,55.862281 -3.205782,,
DUP000008,json,uk_air_sos,462,2685,Bush Estate,564,111,Bush Estate-Nitrogen dioxide (air),no2,5.737,2026-02-19 19:00:00+00,0.000,55.862281 -3.205782,,
DUP000009,aurn,aurn_register,,UKA00130,Eskdalemuir,,,,no2,,,0,55.315310 -3.206111,UKA00130,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2
DUP000009,json,openaq,16421,2291,DEFRA Eskdalemuir,1581,4669,Eskdalemuir,no2,3,2026-02-19 19:00:00+00,0.000,55.315310 -3.206111,,
DUP000009,json,uk_air_sos,828,2687,Eskdalemuir,565,198,Eskdalemuir-Nitrogen dioxide (air),no2,3.06,2026-02-19 18:00:00+00,0.000,55.315310 -3.206111,,
DUP000010,aurn,aurn_register,,UKA00137,Aston Hill,,,,no2,,,0,52.503850 -3.034178,UKA00137,Automatic Urban and Rural Monitoring Network (AURN)
DUP000010,json,openaq,16454,2394,DEFRA Aston Hill,1667,4475,Aston Hill,no2,5,2026-02-19 19:00:00+00,0.000,52.503850 -3.034178,,
DUP000010,json,uk_air_sos,28,2681,Aston Hill,563,37,Aston Hill-Nitrogen dioxide (air),no2,5.355,2026-02-19 19:00:00+00,0.000,52.503850 -3.034178,,
DUP000011,aurn,aurn_register,,UKA00152,Lullington Heath,,,,no2,,,0,50.793700 0.181250,UKA00152,Automatic Urban and Rural Monitoring Network (AURN); UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2
DUP000011,json,openaq,16481,2455,EEA Lullington Heath - UKA00152,1737,4711,Lullington Heath - UKA00152,no2,12,2026-02-19 19:00:00+00,0.000,50.793700 0.181250,,
DUP000011,json,uk_air_sos,1610,2710,Lullington Heath,569,312,Lullington Heath-Nitrogen dioxide (air),no2,12.24,2026-02-19 19:00:00+00,0.000,50.793700 0.181250,,
DUP000012,aurn,aurn_register,,UKA00168,Yarner Wood,,,,no2,,,0,50.597600 -3.716510,UKA00168,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2
DUP000012,json,openaq,16472,2436,DEFRA Yarner Wood,1714,4627,Yarner Wood,no2,2,2026-02-19 19:00:00+00,0.000,50.597600 -3.716510,,
DUP000012,json,uk_air_sos,2426,2748,Yarner Wood,575,528,Yarner Wood-Nitrogen dioxide (air),no2,2.678,2026-02-19 18:00:00+00,0.000,50.597600 -3.716510,,
DUP000013,aurn,aurn_register,,UKA00169,High Muffles,,,,no2,,,0,54.334497 -0.808820,UKA00169,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase); TOMPs; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2
DUP000013,json,uk_air_sos,1113,2703,High Muffles,567,244,High Muffles-Nitrogen dioxide (air),no2,3.634,2026-02-19 19:00:00+00,0.000,54.334497 -0.808820,,
DUP000014,aurn,aurn_register,,UKA00170,Glazebury,,,,no2,,,0,53.460080 -2.472056,UKA00170,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000014,json,openaq,16471,2431,EEA Glazebury - UKA00170,1710,4641,Glazebury - UKA00170,no2,28,2026-02-19 19:00:00+00,0.000,53.460080 -2.472056,,
DUP000014,json,uk_air_sos,898,2692,Glazebury,566,212,Glazebury-Nitrogen dioxide (air),no2,21.994,2026-02-19 18:00:00+00,0.000,53.460080 -2.472056,,
DUP000015,aurn,aurn_register,,UKA00171,Ladybower,,,,no2,,,0,53.403370 -1.752006,UKA00171,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network
DUP000015,json,openaq,16438,2337,EEA Ladybower - UKA00171,1621,4272,Ladybower - UKA00171,no2,7,2026-02-19 19:00:00+00,0.000,53.403370 -1.752006,,
DUP000015,json,uk_air_sos,1239,2705,Ladybower,568,280,Ladybower-Nitrogen dioxide (air),no2,6.885,2026-02-19 19:00:00+00,0.000,53.403370 -1.752006,,
DUP000016,aurn,aurn_register,,UKA00181,Sheffield Tinsley,,,,no2,,,0,53.410580 -1.396139,UKA00181,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; PAH Digitel (solid phase)
DUP000016,json,openaq,16480,2454,EEA Sheffield Tinsley - UKA00181,1733,4702,Sheffield Tinsley - UKA00181,no2,48,2026-02-19 19:00:00+00,0.000,53.410580 -1.396139,,
DUP000016,json,uk_air_sos,2132,1121,Sheffield Tinsley,548,456,Sheffield Tinsley-Nitrogen dioxide (air),no2,41.501,2026-02-19 18:00:00+00,0.000,53.410580 -1.396139,,
DUP000017,aurn,aurn_register,,UKA00211,London Bloomsbury,,,,no2,,,0,51.522290 -0.125889,UKA00211,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000017,json,openaq,16376,148,EEA London Bloomsbury - UKA00211,1427,238,London Bloomsbury - UKA00211,no2,38,2026-02-19 19:00:00+00,0.000,51.522290 -0.125889,,
DUP000017,json,uk_air_sos,1379,841,London Bloomsbury,673,148,London Bloomsbury-Nitrogen dioxide (air),no2,38.059,2026-02-19 19:00:00+00,0.000,51.522290 -0.125889,,
DUP000018,aurn,aurn_register,,UKA00212,Belfast Centre,,,,no2,,,0,54.599650 -5.928833,UKA00212,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; Non-Automatic Hydrocarbon Network; UKEAP: National Ammonia Monitoring Network
DUP000018,json,uk_air_sos,276,759,Belfast Centre,638,61,Belfast Centre-Nitrogen dioxide (air),no2,13.77,2026-02-19 19:00:00+00,0.000,54.599650 -5.928833,,
DUP000019,aurn,aurn_register,,UKA00213,Newcastle Centre,,,,no2,,,0,54.978250 -1.610528,UKA00213,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000019,json,openaq,16418,2051,DEFRA Newcastle Centre,1571,5079253,Newcastle Centre,no2,29,2026-02-19 19:00:00+00,0.000,54.978250 -1.610528,,
DUP000019,json,uk_air_sos,1760,1041,Newcastle Centre,530,366,Newcastle Centre-Nitrogen dioxide (air),no2,21.229,2026-02-19 18:00:00+00,0.000,54.978250 -1.610528,,
DUP000020,aurn,aurn_register,,UKA00217,Cardiff Centre,,,,no2,,,0,51.481780 -3.176250,UKA00217,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000020,json,uk_air_sos,495,814,Cardiff Centre,669,125,Cardiff Centre-Nitrogen dioxide (air),no2,14.535,2026-02-19 18:00:00+00,0.000,51.481780 -3.176250,,
DUP000021,aurn,aurn_register,,UKA00220,Middlesbrough,,,,no2,,,0,54.569297 -1.220874,UKA00220,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000021,json,openaq,16405,824,DEFRA Middlesbrough,1530,4248,Middlesbrough,no2,21,2026-02-19 19:00:00+00,0.000,54.569297 -1.220874,,
DUP000021,json,uk_air_sos,1699,1020,Middlesbrough,527,346,Middlesbrough-Nitrogen dioxide (air),no2,,,0.000,54.569297 -1.220874,,
DUP000021,json,uk_air_sos,7701,7542,Middlesbrough,635,2203,Middlesbrough-Nitrogen dioxide (air),no2,21.038,2026-02-19 19:00:00+00,0.000,54.569297 -1.220874,,
DUP000022,aurn,aurn_register,,UKA00222,Leeds Centre,,,,no2,,,0,53.803780 -1.546472,UKA00222,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000022,json,uk_air_sos,1269,979,Leeds Centre,699,303,Leeds Centre-Nitrogen dioxide (air),no2,29.453,2026-02-19 18:00:00+00,0.000,53.803780 -1.546472,,
DUP000023,aurn,aurn_register,,UKA00235,Southampton Centre,,,,no2,,,0,50.908173 -1.395757,UKA00235,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000023,json,openaq,16394,698,EEA Southampton Centre - UKA00235,1490,1210,Southampton Centre - UKA00235,no2,20,2026-02-19 19:00:00+00,3.954,50.908140 -1.395778,,
DUP000023,json,uk_air_sos,2150,1134,Southampton Centre,550,465,Southampton Centre-Nitrogen dioxide (air),no2,17.212,2026-02-19 18:00:00+00,0.000,50.908173 -1.395757,,
DUP000024,aurn,aurn_register,,UKA00238,London Bexley,,,,no2,,,0,51.466030 0.184806,UKA00238,Automatic Urban and Rural Monitoring Network (AURN)
DUP000024,json,openaq,16385,157,LAQN Bexley - Slade Green Fidas,1461,255,Bexley - Slade Green Fidas,no2,23,2026-02-19 19:00:00+00,7.177,51.465983 0.184877,,
DUP000024,json,uk_air_sos,1371,765,London Bexley,655,66,London Bexley-Nitrogen dioxide (air),no2,-99,2026-02-19 19:00:00+00,0.000,51.466030 0.184806,,
DUP000025,aurn,aurn_register,,UKA00247,Liverpool Speke,,,,no2,,,0,53.346330 -2.844333,UKA00247,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000025,json,openaq,16492,2507,EEA Liverpool Speke - UKA00247,1780,4866,Liverpool Speke - UKA00247,no2,41,2026-02-19 19:00:00+00,0.000,53.346330 -2.844333,,
DUP000025,json,uk_air_sos,1358,1005,Liverpool Speke,525,329,Liverpool Speke-Nitrogen dioxide (air),no2,41.119,2026-02-19 19:00:00+00,0.000,53.346330 -2.844333,,
DUP000026,aurn,aurn_register,,UKA00248,Manchester Piccadilly,,,,no2,,,0,53.481520 -2.237881,UKA00248,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000026,json,openaq,16429,2312,DEFRA Manchester Piccadilly,1599,4195,Manchester Piccadilly,no2,37,2026-02-19 19:00:00+00,0.000,53.481520 -2.237881,,
DUP000026,json,uk_air_sos,1646,1012,Manchester Piccadilly,526,337,Manchester Piccadilly-Nitrogen dioxide (air),no2,37.485,2026-02-19 19:00:00+00,0.000,53.481520 -2.237881,,
DUP000027,aurn,aurn_register,,UKA00251,Rochester Stoke,,,,no2,,,0,51.456170 0.634889,UKA00251,Automatic Urban and Rural Monitoring Network (AURN)
DUP000027,json,openaq,16514,2558,DEFRA Rochester Stoke,1868,5176,Rochester Stoke,no2,16,2026-02-19 19:00:00+00,0.000,51.456170 0.634889,,
DUP000027,json,uk_air_sos,1962,2730,Rochester Stoke,573,432,Rochester Stoke-Nitrogen dioxide (air),no2,16.256,2026-02-19 19:00:00+00,0.000,51.456170 0.634889,,
DUP000028,aurn,aurn_register,,UKA00253,London N. Kensington,,,,no2,,,0,51.521050 -0.213419,UKA00253,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000028,json,uk_air_sos,1568,957,London N. Kensington,695,275,London N. Kensington-Nitrogen dioxide (air),no2,19.125,2026-02-19 19:00:00+00,0.000,51.521050 -0.213419,,
DUP000029,aurn,aurn_register,,UKA00258,Oxford Centre Roadside,,,,no2,,,0,51.751745 -1.257463,UKA00258,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network
DUP000029,json,openaq,16431,2318,DEFRA Oxford Centre Roadside,1605,4209,Oxford Centre Roadside,no2,20,2026-02-19 19:00:00+00,0.000,51.751745 -1.257463,,
DUP000029,json,uk_air_sos,1861,1073,Oxford Centre Roadside,537,391,Oxford Centre Roadside-Nitrogen dioxide (air),no2,,,0.000,51.751745 -1.257463,,
DUP000029,json,uk_air_sos,7712,7640,Oxford Centre Roadside,648,2248,Oxford Centre Roadside-Nitrogen dioxide (air),no2,19.508,2026-02-19 19:00:00+00,0.000,51.751745 -1.257463,,
DUP000030,aurn,aurn_register,,UKA00259,Camden Kerbside,,,,no2,,,0,51.544233 -0.175228,UKA00259,Automatic Urban and Rural Monitoring Network (AURN)
DUP000030,json,openaq,16380,152,DEFRA Camden Kerbside,1440,256,Camden Kerbside,no2,37,2026-02-19 19:00:00+00,3.818,51.544210 -0.175269,,
DUP000030,json,uk_air_sos,471,804,Camden Kerbside,664,3,Camden Kerbside-Nitrogen dioxide (air),no2,37.485,2026-02-19 19:00:00+00,0.000,51.544233 -0.175228,,
DUP000031,aurn,aurn_register,,UKA00260,Haringey Roadside,,,,no2,,,0,51.599300 -0.068218,UKA00260,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000031,json,openaq,16371,60,DEFRA Haringey Roadside,1411,88,Haringey Roadside,no2,31,2026-02-19 19:00:00+00,0.000,51.599300 -0.068218,,
DUP000031,json,uk_air_sos,934,910,Haringey Roadside,685,235,Haringey Roadside-Nitrogen dioxide (air),no2,31.365,2026-02-19 19:00:00+00,0.000,51.599300 -0.068218,,
DUP000032,aurn,aurn_register,,UKA00263,Exeter Roadside,,,,no2,,,0,50.725083 -3.532465,UKA00263,Automatic Urban and Rural Monitoring Network (AURN)
DUP000032,json,openaq,16419,2282,DEFRA Exeter Roadside,1575,4342,Exeter Roadside,no2,25,2026-02-19 19:00:00+00,0.000,50.725083 -3.532465,,
DUP000032,json,uk_air_sos,833,887,Exeter Roadside,680,201,Exeter Roadside-Nitrogen dioxide (air),no2,25.245,2026-02-19 19:00:00+00,0.000,50.725083 -3.532465,,
DUP000033,aurn,aurn_register,,UKA00265,Leamington Spa,,,,no2,,,0,52.288810 -1.533119,UKA00265,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000033,json,openaq,16507,2535,DEFRA Leamington Spa,1843,5038,Leamington Spa,no2,52,2026-02-19 19:00:00+00,0.000,52.288810 -1.533119,,
DUP000033,json,uk_air_sos,7710,7633,Leamington Spa,646,2142,Leamington Spa-Nitrogen dioxide (air),no2,51.638,2026-02-19 19:00:00+00,0.000,52.288810 -1.533119,,
DUP000033,json,uk_air_sos,1247,965,Leamington Spa,696,285,Leamington Spa-Nitrogen dioxide (air),no2,,,0.000,52.288810 -1.533119,,
DUP000034,aurn,aurn_register,,UKA00266,London Hillingdon,,,,no2,,,0,51.496330 -0.460861,UKA00266,Automatic Urban and Rural Monitoring Network (AURN)
DUP000034,json,openaq,16381,153,DEFRA London Hillingdon,1443,239,London Hillingdon,no2,17,2026-02-19 19:00:00+00,0.000,51.496330 -0.460861,,
DUP000034,json,uk_air_sos,1491,921,London Hillingdon,687,241,London Hillingdon-Nitrogen dioxide (air),no2,14.726,2026-02-19 18:00:00+00,0.000,51.496330 -0.460861,,
DUP000035,aurn,aurn_register,,UKA00272,Thurrock,,,,no2,,,0,51.477070 0.317969,UKA00272,Automatic Urban and Rural Monitoring Network (AURN)
DUP000035,json,openaq,16455,2395,EEA Thurrock - UKA00272,1669,4476,Thurrock - UKA00272,no2,24,2026-02-19 19:00:00+00,0.000,51.477070 0.317969,,
DUP000035,json,uk_air_sos,2329,1162,Thurrock,556,495,Thurrock-Nitrogen dioxide (air),no2,25.054,2026-02-19 18:00:00+00,0.000,51.477070 0.317969,,
DUP000036,aurn,aurn_register,,UKA00315,London Marylebone Road,,,,no2,,,0,51.522530 -0.154611,UKA00315,Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; UK Urban NO2 Network
DUP000036,json,uk_air_sos,1544,1029,London Marylebone Road,528,356,London Marylebone Road-Nitrogen dioxide (air),no2,29.644,2026-02-19 19:00:00+00,0.000,51.522530 -0.154611,,
DUP000037,aurn,aurn_register,,UKA00323,Narberth,,,,no2,,,0,51.782616 -4.692370,UKA00323,Automatic Urban and Rural Monitoring Network (AURN); UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network
DUP000037,json,uk_air_sos,1728,2725,Narberth,572,401,Narberth-Nitrogen dioxide (air),no2,7.076,2026-02-19 19:00:00+00,0.000,51.782616 -4.692370,,
DUP000038,aurn,aurn_register,,UKA00336,Glasgow Kerbside,,,,no2,,,0,55.858940 -4.259122,UKA00336,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000038,json,openaq,16432,2320,EEA Glasgow Kerbside - UKA00336,1606,4220,Glasgow Kerbside - UKA00336,no2,56,2026-02-19 19:00:00+00,29.419,55.859170 -4.258889,,
DUP000038,json,uk_air_sos,864,899,Glasgow Kerbside,682,210,Glasgow Kerbside-Nitrogen dioxide (air),no2,65.981,2026-02-19 18:00:00+00,0.000,55.858940 -4.259122,,
DUP000039,aurn,aurn_register,,UKA00337,Stoke-on-Trent Centre,,,,no2,,,0,53.028210 -2.175133,UKA00337,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000039,json,openaq,16520,2579,DEFRA Stoke-on-Trent Centre,1890,5316,Stoke-on-Trent Centre,no2,13,2026-02-19 10:00:00+00,0.000,53.028210 -2.175133,,
DUP000039,json,uk_air_sos,2250,1141,Stoke-on-Trent Centre,551,471,Stoke-on-Trent Centre-Nitrogen dioxide (air),no2,-99,2026-02-19 19:00:00+00,0.000,53.028210 -2.175133,,
DUP000040,aurn,aurn_register,,UKA00339,Salford Eccles,,,,no2,,,0,53.484810 -2.334139,UKA00339,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)
DUP000040,json,openaq,16395,718,DEFRA Salford Eccles,1495,1244,Salford Eccles,no2,50,2026-02-19 19:00:00+00,0.000,53.484810 -2.334139,,
DUP000040,json,uk_air_sos,7714,7646,Salford Eccles,650,2048,Salford Eccles-Nitrogen dioxide (air),no2,49.534,2026-02-19 19:00:00+00,0.000,53.484810 -2.334139,,
DUP000040,json,uk_air_sos,2026,873,Salford Eccles,678,188,Salford Eccles-Nitrogen dioxide (air),no2,,,0.000,53.484810 -2.334139,,
DUP000041,aurn,aurn_register,,UKA00353,Barnsley Gawber,,,,no2,,,0,53.562920 -1.510436,UKA00353,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network
DUP000041,json,openaq,16434,2323,EEA Barnsley Gawber - UKA00353,1608,4362,Barnsley Gawber - UKA00353,no2,31,2026-02-19 19:00:00+00,0.000,53.562920 -1.510436,,
DUP000041,json,uk_air_sos,238,753,Barnsley Gawber,634,44,Barnsley Gawber-Nitrogen dioxide (air),no2,31.365,2026-02-19 19:00:00+00,0.000,53.562920 -1.510436,,
DUP000042,aurn,aurn_register,,UKA00360,Plymouth Centre,,,,no2,,,0,50.371670 -4.142361,UKA00360,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)
DUP000042,json,openaq,16488,2488,EEA Plymouth Centre - UKA00360,1765,4815,Plymouth Centre - UKA00360,no2,24,2026-02-19 19:00:00+00,0.000,50.371670 -4.142361,,
DUP000042,json,uk_air_sos,1885,1083,Plymouth Centre,540,406,Plymouth Centre-Nitrogen dioxide (air),no2,18.169,2026-02-19 18:00:00+00,0.000,50.371670 -4.142361,,
DUP000043,aurn,aurn_register,,UKA00362,Wicken Fen,,,,no2,,,0,52.298500 0.290917,UKA00362,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000043,json,openaq,16404,804,EEA Wicken Fen - UKA00362,1525,4238,Wicken Fen - UKA00362,no2,8,2026-02-19 19:00:00+00,0.000,52.298500 0.290917,,
DUP000043,json,uk_air_sos,2370,2743,Wicken Fen,574,511,Wicken Fen-Nitrogen dioxide (air),no2,7.841,2026-02-19 18:00:00+00,0.000,52.298500 0.290917,,
DUP000044,aurn,aurn_register,,UKA00380,Newport,,,,no2,,,0,51.601203 -2.977281,UKA00380,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000044,json,openaq,16399,764,DEFRA Newport,1509,4267,Newport,no2,25,2026-02-19 19:00:00+00,0.000,51.601203 -2.977281,,
DUP000044,json,uk_air_sos,1794,1059,Newport,535,382,Newport-Nitrogen dioxide (air),no2,,,0.000,51.601203 -2.977281,,
DUP000044,json,uk_air_sos,7711,7637,Newport,647,2239,Newport-Nitrogen dioxide (air),no2,25.054,2026-02-19 19:00:00+00,0.000,51.601203 -2.977281,,
DUP000045,aurn,aurn_register,,UKA00381,Scunthorpe Town,,,,no2,,,0,53.586340 -0.636811,UKA00381,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)
DUP000045,json,openaq,16400,768,DEFRA Scunthorpe Town,1512,5046,Scunthorpe Town,no2,12,2026-02-19 10:00:00+00,0.000,53.586340 -0.636811,,
DUP000045,json,uk_air_sos,2092,1111,Scunthorpe Town,545,440,Scunthorpe Town-Nitrogen dioxide (air),no2,,,0.000,53.586340 -0.636811,,
DUP000045,json,uk_air_sos,7715,7648,Scunthorpe Town,651,2297,Scunthorpe Town-Nitrogen dioxide (air),no2,-99,2026-02-19 19:00:00+00,0.000,53.586340 -0.636811,,
DUP000046,aurn,aurn_register,,UKA00396,Cambridge Roadside,,,,no2,,,0,52.202370 0.124456,UKA00396,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000046,json,openaq,16477,2449,DEFRA Cambridge Roadside,1728,4688,Cambridge Roadside,no2,36,2026-02-19 19:00:00+00,0.000,52.202370 0.124456,,
DUP000046,json,uk_air_sos,7707,7621,Cambridge Roadside,642,1983,Cambridge Roadside-Nitrogen dioxide (air),no2,35.764,2026-02-19 19:00:00+00,0.000,52.202370 0.124456,,
DUP000046,json,uk_air_sos,467,808,Cambridge Roadside,665,116,Cambridge Roadside-Nitrogen dioxide (air),no2,,,0.000,52.202370 0.124456,,
DUP000047,aurn,aurn_register,,UKA00406,Wirral Tranmere,,,,no2,,,0,53.372870 -3.022722,UKA00406,Automatic Urban and Rural Monitoring Network (AURN)
DUP000047,json,openaq,16505,2533,EEA Wirral Tranmere - UKA00406,1836,5022,Wirral Tranmere - UKA00406,no2,29,2026-02-19 19:00:00+00,0.000,53.372870 -3.022722,,
DUP000047,json,uk_air_sos,2388,1167,Wirral Tranmere,557,499,Wirral Tranmere-Nitrogen dioxide (air),no2,26.966,2026-02-19 18:00:00+00,0.000,53.372870 -3.022722,,
DUP000048,aurn,aurn_register,,UKA00408,Preston,,,,no2,,,0,53.765590 -2.680353,UKA00408,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)
DUP000048,json,openaq,16499,2517,EEA Preston - UKA00408,1808,5093,Preston - UKA00408,no2,37,2026-02-19 19:00:00+00,0.000,53.765590 -2.680353,,
