"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00451","GB0048R","GB0048R","Auchencorth Moss","Rural Background","Central Scotland","2003-01-01","","55.792160","-3.242900","656128.11","322165.87","260","Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Deposition; PAH Digitel (solid phase); Particle Size Composition; Rural Automatic Mercury network; TOMPs; UKEAP: Acid Gases & Aerosol Network; UKEAP: MARGA Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is within a self-contained housing, located in an elevated rural environment, 1.5 kilometres north west of the A701 at Leadburn and 18 kilometres south of Edinburgh city centre."
"UKA00395","GB0174R","GB0174R","Auchincruive","Rural Background","Central Scotland","1999-04-20","","55.477348","-4.564505","623381.99","238018.47","41","UKEAP: National Ammonia Monitoring Network","",""
"UKA01109","GB1551A","","Aylesbury A4157","Urban Traffic","South East","2025-08-11","","51.822161","-0.793884","214414.00","483226.00","84","Automatic Urban and Rural Monitoring Network (AURN)","","The site is located in a residential area on the verge of the A4157 on the outskirts of Aylesbury, with farmland to the north."
"UKA01063","GB1505A","","Ballylinney Church 2","Rural Background","Northern Ireland","2024-09-03","","54.730000","-5.980000","544495.00","143857.00","119","UKEAP: National Ammonia Monitoring Network","",""
"UKA00633","GB1074A","","Ballymena Antrim Road","Urban Traffic","Northern Ireland","2017-04-01","","54.851491","-6.274961","559121.00","125704.00","53","Automatic Urban and Rural Monitoring Network (AURN)","","Roadside monitoring station beside the Antrim Road, located on the east side of the road just south of Lettercreeve. Located in a residential area to the south of Ballymena town centre. The monitoring station is located approximately 3.8 metres from the kerb."
"UKA00503","GB0934A","","Ballymena Ballykeel","Urban Background","Northern Ireland","2007-01-11","","54.861595","-6.250873","560150.05","127317.09","59","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; PAH Digitel (solid phase)","","The monitoring station is within a self-contained, air-conditioned housing on Orkney Road at the rear of a housing development off of Old Crebilly Road. The surrounding area is urban residential. The monitoring station is approimately 50 metres West of the M2 motorway."
"UKA00959","GB1401R","","Ballynahone Bog","Rural Background","Northern Ireland","2022-01-01","","54.820000","-6.700000","557370.14","98206.42","43","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00239","GB0390A","","Balquhidder 2","Rural Background","North East Scotland","1994-08-08","","56.356229","-4.356985","720705.54","254465.15","130","UKEAP: Rural NO2","",""
"UKA01087","GB1529A","","Balquhidder 3","Rural Background","North East Scotland","2024-12-23","","56.356224","-4.359012","720709.28","254339.91","130","UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00353","GB0681A","","Barnsley Gawber","Urban Background","Yorkshire & Humberside","1997-07-07","","53.562920","-1.510436","407478.45","432524.22","100","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network","","The monitoring station is within a free-standing enclosure located on the edge of a sports field surrounded on two sides by residential properties. The site is situated approximately 290 metres from the nearest main road, Wilthorpe Road (A635). The surrounding area comprises of open space and nearby residential premises."
"UKA00574","GB1029A","","Barnstaple A39","Urban Traffic","South West","2013-11-14","","51.074793","-4.041924","132591.00","257048.00","13","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station lies within a self-contained air conditioned mobile unit along the roadside of A39 -Eastern Avenue, 1.2 km east of Barnstaple town centre. Located in the vicinity of the Howard Avenue industrial units. The surrounding area comprises residential houses, and some industry. The Whiddon Valley Industrial Estate and the major road A361 lie 100m and 750m to the south east respectively. The monitoring station is located approximately 6 metres from the kerb."
"UKA00660","GB1101A","","Bath A4 Roadside","Urban Traffic","South West","2019-10-24","","51.390922","-2.355030","165825.00","375394.00","27","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","Roadside monitoring station beside A4 London Road, between Thomas Street and Snow Hill. The monitoring station is located approximately 3 metres from the kerb."
"UKA00383","GB0411A","","Beaghs Burn","Rural Background","Northern Ireland","1999-02-08","","55.086709","-6.174419","584882.88","133716.30","252","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00334","GB0163R","GB0163R","Bedingfield","Rural Background","Eastern","1997-03-07","","52.270506","1.183947","268369.76","617335.09","62","UKEAP: National Ammonia Monitoring Network","",""
"UKA00212","GB0567A","","Belfast Centre","Urban Background","Belfast Metropolitan Urban Area","1992-03-08","","54.599650","-5.928833","529816.59","146337.91","10","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; Non-Automatic Hydrocarbon Network; UKEAP: National Ammonia Monitoring Network","","The monitoring station is within a self-contained, air-conditioned housing located at the junction between Lombard Street and High Street in a pedestrian precinct. The site is approximately 15 metres from the road junction. The surrounding area is built-up and comprises urban retail and business premises typically five-storeys high which create street canyons."
"UKA00594","GB1036A","","Belfast Stockman's Lane","Urban Traffic","Belfast Metropolitan Urban Area","2014-06-07","","54.572586","-5.974944","526975.07","143190.78","9","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A55 -   Stockman's Lane road, in the south western outskirts of Belfast's city centre, near the northern edge of Musgrave Park. The surrounding area is mainly open to the south. A small residential area surrounds the site from the north. Shane Retail Park lies at 55 meters to the Northeast, and the M1 motorway - 150 meters to the northwest. The monitoring station is located approximately 3.5 metres from the kerb."
"UKA00297","GB0148R","GB0148R","Bickerton Hill","Rural Background","North West & Merseyside","1996-10-04","","53.068290","-2.748550","352601.13","349940.01","197","UKEAP: National Ammonia Monitoring Network","",""
"UKA00625","GB1066A","","Birkenhead Borough Road","Urban Traffic","Birkenhead Urban Area","2016-08-18","","53.388624","-3.024942","388465.66","331931.40","7","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside a dual carriageway section of the A552 Borough Road, approaching the centre of Birkenhead. Located at the end of Lowwood Grove. There are houses on the south side of the road (next to the monitoring station) and a shopping centre on the opposite side. The monitoring station is located approximately 4.2 metres from the kerb."
"UKA00626","GB1067A","","Birmingham A4540 Roadside","Urban Traffic","West Midlands Urban Area","2016-09-06","","52.476145","-1.874978","286475.70","408588.74","109","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","Roadside monitoring station beside the A4540 (Watery Lane Middleway) which forms part of Birmingham's ring road. Located at the end of Keeley Street. The monitoring station is located approximately 6.5 metres from the kerb."
"UKA01062","GB1504A","","Birmingham Hall Green","Urban Background","West Midlands Urban Area","2024-09-12","","52.437553","-1.830956","282189.01","411588.80","136","Automatic Urban and Rural Monitoring Network (AURN)","","Urban background location near sports field, in grounds of Fox Hollies Leisure Centre, Hall Green."
"UKA00655","GB1097A","","Birmingham Ladywood","Urban Background","West Midlands Urban Area","2018-06-01","","52.481346","-1.918235","287050.00","405650.00","134","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)","",""
"UKA01108","GB1550A","","Birmingham University","Urban Background","West Midlands Urban Area","2025-07-09","","52.455515","-1.928937","284176.00","404926.00","","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00590","GB1032A","","Blackburn Accrington Road","Urban Traffic","North West & Merseyside","2014-05-12","","53.747763","-2.452680","428027.47","370244.69","142","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A679 -Accrington road, in the western outskirts of Blackburn's city centre. Located in the vicinity of Accrington Road Community Centre. The surrounding area comprises residential houses, in an urban environment. The M65 motorway lies 1.5 km to the east. The monitoring station is located approximately 2.5 metres from the kerb."
"UKA01025","GB1467A","","Blackburn Audley Park","Urban Background","North West & Merseyside","2023-09-01","","53.746730","-2.467873","427919.00","369242.00","140","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","This is an urban background monitoring station in Audley Park, Blackburn. Surroundings are mostly residential."
"UKA00488","GB0882A","","Blackpool Marton","Urban Background","Blackpool Urban Area","2005-06-14","","53.804890","-3.007175","434758.92","333768.44","16","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located on school grounds next to playing fields with some nearby residential properties. The station is located approximately 40 metres from the closest road, which is a residential access road. The site is located 260 metres from a major road (A583 Preston New Road)."
"UKA01049","GB1491A","","Blackpool Whitegate Drive","Urban Traffic","Blackpool Urban Area","2024-11-07","","53.810975","-3.033232","435460.60","332062.30","17","Automatic Urban and Rural Monitoring Network (AURN)","","Pavement of Whitegate Drive (A593) where it passes through a residential area of Blackpool. 1.5 km from the coast."
"UKA00946","GB1388R","","Blackwatertown","Rural Background","Northern Ireland","2022-04-01","","54.430000","-6.700000","514021.02","95300.28","19","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00376","GB0700A","","Bolsover","Urban Background","East Midlands","1999-01-01","","53.246398","-1.297046","372383.58","447004.89","130","PAH Digitel (solid phase)","",""
"UKA00644","GB1086A","","Borehamwood Meadow Park","Urban Background","Eastern","2017-10-01","","51.661229","-0.270550","197243.17","519717.85","89","Automatic Urban and Rural Monitoring Network (AURN)","","Located near a bowling club in a residential part of Borehamwood, Hertfordshire. Surrounded by residential areas and parkland. The nearest road is 137m from the site."
"UKA00429","GB0741A","","Bournemouth","Urban Background","Bournemouth Urban Area","2001-03-05","","50.739570","-1.826744","93343.15","412321.91","30","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self contained air conditioned mobile unit within the grounds of Porchester School. The nearest main road is the A338 Wessex Way approximately 770m from the site. The nearest residential road, Shepherds Way, is 48m from the site."
"UKA00611","GB1053A","","Bradford Mayo Avenue","Urban Traffic","West Yorkshire Urban Area","2015-04-24","","53.771245","-1.759774","430571.56","415930.92","187","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station in front of houses on the A6177, Mayo Avenue, which forms part of Bradford's ring road. Located in the vicinity of Raymond Street. The monitoring station is located approximately 3 metres from the kerb."
"UKA01090","GB1531A","","Bradford Shipley Airedale Road","Urban Traffic","West Yorkshire Urban Area","2024-12-03","","53.795169","-1.743742","433237.00","416978.00","121","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","Roadside monitoring site beside the A650 Shipley Airedale Road, to the east of the city centre. Mixed commercial, industrial and residential surroundings: close to several blocks of flats."
"UKA00969","GB1411A","","Braunton Burrows","Rural Background","South West","2023-04-26","","51.107744","-4.210945","136597.27","245318.50","9","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00483","GB0860A","","Brighton Preston Park","Urban Background","Brighton/Worthing/Littlehampton","2004-11-03","","50.840836","-0.147572","106224.60","530523.94","10","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located inside the Pavilion Building within Preston Park. The nearest road is London Road (A23), which is approximately 190m from the monitoring station. The manifold inlet is located on the roof of the pavilion building. The surrounding area is open urban parkland and comprises of public playing fields and recreational areas with a few mature trees within 5-10 metres of the monitoring station."
"UKA01116","GB1558A","","Bristol Patchway","Urban Background","Bristol Urban Area","2025-11-12","","51.529672","-2.586420","181359.00","359417.00","","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is sited on a grass area on corner of residential road in a housing estate in the Patchway area of Bristol."
"UKA00494","GB0884A","","Bristol St Paul's","Urban Background","Bristol Urban Area","2006-06-15","","51.462839","-2.584482","173925.03","359492.10","15","Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)","","The monitoring station is located within a self contained, air conditioned unit within the car park of a day nursery. The monitoring station is approximately 30 metres south east of Wilder Street, a lightly trafficked urban back street. The surrounding area is primarily residential, with some commercial premises in the immediate vicinity. "
"UKA00631","GB1072A","","Bristol Temple Way","Urban Traffic","Bristol Urban Area","2017-04-01","","51.457968","-2.583975","173383.00","359523.00","13","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside multi-lane section of the A4044 (Temple Way), a major route in and out of Bristol city centre. Close to a hotel, shops and flats. Located adjacent to Champion Square. The monitoring station is located approximately 5 metres from the kerb."
"UKA00405","GB0180R","GB0180R","Brompton","Rural Background","Yorkshire & Humberside","2000-05-04","","54.383659","-1.401785","498849.96","438950.01","56","UKEAP: National Ammonia Monitoring Network","",""
"UKA00369","GB0113R","GB0113R","Brown Moss 2","Rural Background","West Midlands","1998-05-01","","52.946771","-2.652058","339019.77","356282.52","109","UKEAP: National Ammonia Monitoring Network","",""
"UKA00641","GB0047R","","Bure Marshes","Rural Background","Eastern","2016-11-02","","52.692369","1.452620","316114.11","633416.75","3","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00636","GB1077R","","Burnham Beeches","Rural Background","South East","2016-11-01","","51.551800","-0.637822","184535.83","494542.70","59","UKEAP: National Ammonia Monitoring Network","",""
"UKA00652","GB1094A","","Burton-on-Trent Horninglow","Urban Background","West Midlands","2018-02-01","","52.821050","-1.635718","324897.00","424646.00","46","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00598","GB1040A","","Bury Whitefield Roadside","Urban Traffic","Greater Manchester Urban Area","2014-07-11","","53.559029","-2.293772","406974.42","380637.36","102","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","The monitoring station is within a self-contained air conditioned mobile unit within the fenced grounds of St Bernadettes Roman Catholic Primary School, on the road side of A56 -Manchester road. The surrounding area comprises residential houses, in an urban environment. The monitoring station is located approximately 8 metres from the kerb."
"UKA00128","GB0033R","GB0033R","Bush Estate","Rural Background","Central Scotland","1986-04-01","","55.862281","-3.205782","663890.62","324629.04","180","Automatic Urban and Rural Monitoring Network (AURN); UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network","","The monitoring station is located within a self-contained, air conditioned housing located within the grounds of the Institute of Terrestrial Ecology some 10 kilometres south of the centre of Edinburgh. The nearest road is a quiet rural road approximately 50 metres north of the station. The A702 is approximately 450 metres west of the site. The surrounding area is generally open with trees located within the vicinity approximately 40 metres from the monitoring station. "
"UKA00954","GB1396R","","Caddy Rd","Rural Background","Northern Ireland","2022-04-01","","54.800000","-6.320000","553574.05","122461.11","44","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00492","GB0067R","GB0067R","Caenby","Rural Background","East Midlands","2006-02-03","","53.397871","-0.507355","390042.31","499345.77","17","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network","",""
"UKA00952","GB1394R","","Caldanagh Bog","Rural Background","Northern Ireland","2022-04-01","","55.020000","-6.400000","578351.39","118863.00","84","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA01115","GB1557A","","Cambridge King's Hedges","Urban Background","Eastern","2025-10-27","","52.230135","0.139191","261258.00","546193.00","","Automatic Urban and Rural Monitoring Network (AURN)","","The site is located in  green space within a residential area on the outskirts of Cambridge, just south of a Science Park."
"UKA00396","GB0726A","","Cambridge Roadside","Urban Traffic","Eastern","1999-06-26","","52.202370","0.124456","258142.42","545279.43","19","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is contained within the first floor offices of the City Council on Regent Street. The road is a busy urban street which leads traffic directly to the city centre shopping area. The monitoring station is located approximately 2.5 metres from the kerb."
"UKA00259","GB0636A","","Camden Kerbside","Urban Traffic","Greater London Urban Area","1996-05-16","","51.544233","-0.175228","184392.96","526635.31","58","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located in a self contained, air conditioned cabin on the north side of the Swiss Cottage Junction on the A41 (Finchley Road). The site is at the southern end of a broad street canyon, the road is often congested. Pedestrian traffic is also high. The surrounding area mainly consists of shops and offices. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Camden. The monitoring station is located approximately 1 metre from the kerb."
"UKA00623","GB1064A","","Cannock A5190 Roadside","Urban Traffic","West Midlands","2016-08-10","","52.687298","-1.980821","309956.61","401393.54","182","Automatic Urban and Rural Monitoring Network (AURN)","","Roadside monitoring station beside A5190 Cannock Road near junction with Newlands Lane, Cannock. The monitoring station is located approximately 5.7 metres from the kerb."
"UKA00217","GB0580A","","Cardiff Centre","Urban Background","Cardiff Urban Area","1992-05-12","","51.481780","-3.176250","176525.75","318416.22","12","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","The monitoring station is located within a self-contained, air-conditioned housing located within a pedestrianised area. The nearest road, the A4161 North Road is approximately 200 metres to the west of the station and is subject to periodic congestion during peak periods. The surrounding area comprises retail and business premises."
"UKA00452","GB0869A","","Cardiff Lakeside","Urban Background","Cardiff Urban Area","2003-01-01","","51.512406","-3.169336","179924.02","318950.74","43","PAH Digitel (solid phase); TOMPs","",""
"UKA00653","GB1095A","","Cardiff Newport Road","Urban Traffic","Cardiff Urban Area","2018-04-01","","51.490960","-3.152305","177520.00","320095.00","8","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside A4161 Newport Road, situated at the end of Richards Terrace. The monitoring station is located approximately 7 metres from the kerb."
"UKA00321","GB0158R","GB0158R","Cardigan","Rural Background","South Wales","1997-01-15","","52.074405","-4.644893","245084.13","218835.07","17","UKEAP: National Ammonia Monitoring Network","",""
"UKA00384","GB0168R","GB0168R","Carlisle","Rural Background","North West & Merseyside","1999-02-08","","54.889959","-2.830542","555340.14","346823.21","24","UKEAP: National Ammonia Monitoring Network","",""
"UKA00932","GB1374A","","Carlisle Morton A595","Urban Traffic","North West & Merseyside","2021-08-24","","54.885823","-2.964955","554990.46","338195.25","41","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","Approximately 50m from Morton Community Centre. Enclosure located behind a 2m high listed wall. Located on Wigton Road (A595). The monitoring station is located approximately 8 metres from the kerb."
"UKA00961","GB1403R","","Carradale Distillery","Rural Background","Highland","2022-05-11","","55.567236","-5.510767","635993.07","178742.39","86","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network","",""
"UKA00956","GB1398R","","Carrowbane Rd","Rural Background","Northern Ireland","2022-04-01","","54.220000","-6.690000","490636.17","94392.66","219","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00328","GB0136R","GB0136R","Castle cary","Rural Background","South West","1997-02-20","","51.084714","-2.560684","131860.40","360824.16","36","UKEAP: National Ammonia Monitoring Network","",""
"UKA00939","GB1381R","","Castle Enigan","Rural Background","Northern Ireland","2022-04-01","","54.220000","-6.280000","488936.50","121100.87","82","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00537","GB0957A","GB0053R","Charlton Mackrell","Rural Background","South West","2008-09-03","","51.056250","-2.683450","128767.68","352195.88","54","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained, air conditioned housing within an open field. The current location is approximately 500 metres west of the original (Somerton) location. The nearest road is approximately 500 metres and is a quiet rural lane.  "
"UKA00553","GB1007A","","Chatham Roadside","Urban Traffic","South East","2010-03-25","","51.374264","0.547970","166992.84","577436.75","80","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","The monitoring station is within a self-contained, air-conditioned housing located inside school grounds on Rainham Road (A2). The surrounding area is urban residential. The monitoring station is located approximately 4 metres from the kerb."
"UKA01101","GB1543A","","Cheltenham A40 Gloucester Road","Urban Traffic","South West","2025-03-20","","51.896592","-2.113747","222011.10","392269.80","51","Automatic Urban and Rural Monitoring Network (AURN)","","Verge of A40 Gloucester Road through Cheltenham, Gloucestershire. Surroundings mostly residential."
"UKA00515","GB0921A","","Chepstow A48","Urban Traffic","South Wales","2008-01-01","","51.638094","-2.678731","193472.64","353125.50","67","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained air conditioned housing on the north side of the A48 Newport Road at the junction with Hardwick Hill Lane. The surrounding area is open with residential dwellings.  The monitoring station is located approximately 6 metres from the kerb."
"UKA00604","GB1046A","","Chesterfield Loundsley Green","Urban Background","East Midlands","2015-03-01","","53.244131","-1.454946","372039.00","436470.00","98","Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals","","The monitoring station is within a self-contained air conditioned mobile unit within the grounds of Loundsley Green Park. The nearest road is Pennine road, 15 m distant to the south. The site is located in the Northwest outskirts of Chesterfield city centre. The surrounding area comprises residential houses and green areas. The closest highly dense roads are B6150, which lies approx. 450 m to the North, and Ashgate road, 490 m to the west."
"UKA00529","GB0928A","","Chesterfield Roadside","Urban Traffic","East Midlands","2008-03-11","","53.231751","-1.456928","370661.22","436348.56","96","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; UK Urban NO2 Network","","The monitoring station is located within a self-contained air conditioned housing adjacent to property number 461, Chatsworth Road (A619). The surrounding area is predominantly residential with commercial/light industrial properties 400 metres to the east. The monitoring station is located approximately 3 metres from the kerb."
"UKA00614","GB1055R","GB1055R","Chilbolton Observatory","Rural Background","South East","2016-01-11","","51.149617","-1.438228","139078.44","439389.91","78","Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Deposition; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; Rural Automatic Mercury network; UKEAP: Acid Gases & Aerosol Network; UKEAP: MARGA Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is located approximately 200m SE from the outskirts of Chilbolton Village, in arable farmland."
"UKA01032","GB1474A","","Chippenham Fen","Rural Background","Eastern","2023-03-01","","52.299820","0.410076","269589.96","564434.96","","UKEAP: National Ammonia Monitoring Network","",""
"UKA01031","GB1473A","","Chobham Common","Rural Background","South East","2023-05-04","","51.384375","-0.611494","165950.92","496721.03","","UKEAP: National Ammonia Monitoring Network","",""
"UKA00624","GB1065A","","Christchurch Barrack Road","Urban Traffic","Bournemouth Urban Area","2016-09-01","","50.735454","-1.780888","92894.01","415559.03","3","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside a dual carriageway section of the A35 as it passes through Christchurch, Dorset, adjacent to Christchurch Recreation Ground. The monitoring station is located approximately 3.5 metres from the kerb."
"UKA00953","GB1395R","","Cloughmills","Rural Background","Northern Ireland","2022-04-01","","55.010000","-6.320000","576920.40","123904.19","108","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00401","GB0177R","GB0177R","Coleraine","Rural Background","Northern Ireland","1999-10-20","","55.028669","-6.619690","580221.89","104895.08","33","UKEAP: National Ammonia Monitoring Network","",""
"UKA00958","GB1400R","","Corramore Rd","Rural Background","Northern Ireland","2022-04-01","","54.780000","-7.040000","554444.48","76065.46","210","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00592","GB1034A","","Coventry Allesley","Urban Background","Coventry/Bedworth","2014-06-11","","52.411628","-1.560189","279382.74","430013.35","98","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit located within the grounds of Allesley Park, in the roadside of Buckingham Rise Road. The site is located at approximately 3.4 km west of Coventry's city centre. The surrounding area is mainly open land with the nearest trees occurring within a distance of 45 meters. The nearest major road is the A45, which lies approximately 75 meters to the west."
"UKA00634","GB1075A","","Coventry Binley Road","Urban Traffic","Coventry/Bedworth","2017-04-01","","52.407708","-1.490082","278978.01","434785.14","82","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station in parkland (Gosford Green) beside Binley Road, a major route in and out of Coventry city centre. The monitoring station is located approximately 6.5 metres from the kerb."
"UKA00657","GB0244A","","Crai Reservoir 2","Rural Background","South Wales","2018-10-24","","51.885449","-3.619594","222005.62","288627.44","310","UKEAP: Precip-Net","",""
